emp_no,title,from_date,to_date
11626,Engineer,1987-07-10,1993-07-01
11627,Engineer,1998-10-31,9999-01-01
11628,Engineer,1988-10-23,1997-10-23
11628,"Senior Engineer",1997-10-23,9999-01-01
11633,Engineer,1994-09-28,9999-01-01
11634,Engineer,2000-01-01,9999-01-01
11635,Engineer,1989-10-13,1994-10-13
11635,"Senior Engineer",1994-10-13,9999-01-01
11636,Engineer,1992-11-16,1998-01-01
11637,Engineer,1999-01-28,9999-01-01
11638,Engineer,1986-03-30,1992-03-29
11638,"Senior Engineer",1992-03-29,9999-01-01
11639,Engineer,1987-02-18,1993-02-17
11639,"Senior Engineer",1993-02-17,9999-01-01
11640,"Senior Engineer",1988-09-26,9999-01-01
11641,"Senior Engineer",1991-06-18,9999-01-01
11644,"Assistant Engineer",1995-08-09,9999-01-01
11645,"Assistant Engineer",1985-06-10,1994-06-10
11645,Engineer,1994-06-10,9999-01-01
11646,Engineer,1999-12-15,9999-01-01
11647,Engineer,1988-05-11,1993-05-11
11647,"Senior Engineer",1993-05-11,9999-01-01
11651,Engineer,1987-08-09,1995-08-09
11651,"Senior Engineer",1995-08-09,1996-07-29
11653,Engineer,1993-02-26,2001-02-26
11653,"Senior Engineer",2001-02-26,9999-01-01
11654,Engineer,1996-01-16,9999-01-01
11655,Engineer,1991-09-23,1998-09-23
11655,"Senior Engineer",1998-09-23,9999-01-01
11657,Engineer,1989-03-19,1996-03-19
11657,"Senior Engineer",1996-03-19,9999-01-01
11658,"Senior Engineer",1994-10-20,9999-01-01
11661,Engineer,1995-08-24,9999-01-01
11665,Engineer,1994-12-03,9999-01-01
11669,Engineer,1997-05-12,2002-05-12
11669,"Senior Engineer",2002-05-12,9999-01-01
11675,Engineer,1988-04-02,1994-02-10
11676,Engineer,1998-07-15,9999-01-01
11678,Engineer,1985-02-24,1990-02-24
11678,"Senior Engineer",1990-02-24,9999-01-01
11679,"Senior Engineer",1991-01-02,9999-01-01
11681,Engineer,1988-08-27,1995-08-28
11681,"Senior Engineer",1995-08-28,9999-01-01
11683,Engineer,1996-01-21,9999-01-01
11685,"Assistant Engineer",1999-07-01,9999-01-01
11687,"Senior Engineer",1992-03-22,9999-01-01
11691,Engineer,1989-04-04,1997-04-03
11691,"Senior Engineer",1997-04-03,9999-01-01
11692,Engineer,1989-04-20,1997-04-20
11692,"Senior Engineer",1997-04-20,9999-01-01
11693,"Senior Engineer",1991-08-24,9999-01-01
11695,Engineer,1989-04-26,1990-04-21
11701,"Assistant Engineer",1997-08-09,9999-01-01
11702,Engineer,1988-09-18,1995-09-14
11704,Engineer,1999-04-04,9999-01-01
11707,Engineer,1994-04-07,2000-04-06
11707,"Senior Engineer",2000-04-06,9999-01-01
11709,Engineer,1985-11-09,1991-11-09
11709,"Senior Engineer",1991-11-09,9999-01-01
11711,"Assistant Engineer",1990-06-15,1995-06-15
11711,Engineer,1995-06-15,2000-06-14
11711,"Senior Engineer",2000-06-14,9999-01-01
11713,Engineer,1994-10-04,2000-10-03
11713,"Senior Engineer",2000-10-03,9999-01-01
11716,Engineer,1989-05-09,1994-05-09
11716,"Senior Engineer",1994-05-09,9999-01-01
11719,Engineer,1996-01-20,9999-01-01
11721,"Senior Engineer",1990-11-30,9999-01-01
11722,Engineer,1997-12-18,9999-01-01
11725,Engineer,1988-09-15,1995-09-16
11725,"Senior Engineer",1995-09-16,2001-07-16
11732,"Senior Engineer",1996-12-22,9999-01-01
11733,Engineer,1992-01-12,2001-01-11
11733,"Senior Engineer",2001-01-11,9999-01-01
11736,"Senior Engineer",1994-03-07,9999-01-01
11737,"Assistant Engineer",1995-07-11,9999-01-01
11738,Engineer,1986-06-19,1992-06-18
11738,"Senior Engineer",1992-06-18,1995-06-27
11739,Engineer,1993-03-20,1998-03-20
11739,"Senior Engineer",1998-03-20,9999-01-01
11743,Engineer,1999-06-18,9999-01-01
11748,Engineer,1996-07-24,9999-01-01
11749,Engineer,1997-07-02,2002-07-02
11749,"Senior Engineer",2002-07-02,9999-01-01
11750,Engineer,1995-11-19,9999-01-01
11756,Engineer,1999-11-26,9999-01-01
11757,"Senior Engineer",1987-04-07,9999-01-01
11758,Engineer,1999-03-18,9999-01-01
11759,"Assistant Engineer",1988-04-30,1997-04-30
11759,Engineer,1997-04-30,9999-01-01
11760,"Assistant Engineer",1985-09-15,1991-09-15
11760,Engineer,1991-09-15,1997-09-14
11760,"Senior Engineer",1997-09-14,9999-01-01
11762,Engineer,1995-08-04,1996-02-12
11763,Engineer,1997-04-18,9999-01-01
11764,Engineer,1991-12-16,1996-12-15
11764,"Senior Engineer",1996-12-15,9999-01-01
11766,Engineer,1987-10-27,1995-10-27
11766,"Senior Engineer",1995-10-27,9999-01-01
11767,"Assistant Engineer",1986-12-19,1994-12-19
11767,Engineer,1994-12-19,9999-01-01
11768,"Assistant Engineer",1991-04-25,1996-04-24
11768,Engineer,1996-04-24,2001-04-24
11768,"Senior Engineer",2001-04-24,9999-01-01
11770,Engineer,1992-11-29,2000-11-29
11770,"Senior Engineer",2000-11-29,9999-01-01
11772,Engineer,1999-11-07,9999-01-01
11774,Engineer,1998-11-26,9999-01-01
11775,Engineer,1988-11-15,1994-11-15
11775,"Senior Engineer",1994-11-15,9999-01-01
11778,Engineer,1992-12-28,1997-12-28
11778,"Senior Engineer",1997-12-28,9999-01-01
11780,Engineer,1987-09-11,1992-09-10
11780,"Senior Engineer",1992-09-10,9999-01-01
11783,Engineer,1994-07-14,2001-07-14
11783,"Senior Engineer",2001-07-14,9999-01-01
11784,Engineer,1995-12-07,1997-10-28
11787,Engineer,1990-01-10,1999-01-10
11787,"Senior Engineer",1999-01-10,9999-01-01
11790,"Senior Engineer",1988-03-09,9999-01-01
11791,"Senior Engineer",1994-11-15,9999-01-01
11792,Engineer,1987-05-29,1996-05-28
11792,"Senior Engineer",1996-05-28,9999-01-01
11793,Engineer,1996-06-06,2000-04-22
11794,Engineer,1992-09-04,1997-09-04
11794,"Senior Engineer",1997-09-04,9999-01-01
11795,Engineer,1992-03-24,2000-03-24
11795,"Senior Engineer",2000-03-24,9999-01-01
11799,"Assistant Engineer",1996-03-06,9999-01-01
11800,"Senior Engineer",1990-08-08,1994-05-08
11802,Engineer,1988-04-12,1996-04-12
11802,"Senior Engineer",1996-04-12,9999-01-01
11803,Engineer,1997-09-25,9999-01-01
11804,Engineer,1986-09-16,1993-09-16
11804,"Senior Engineer",1993-09-16,9999-01-01
11805,"Assistant Engineer",1985-09-01,1991-02-05
11806,Engineer,1996-04-02,9999-01-01
11808,Engineer,1986-05-17,1991-05-17
11808,"Senior Engineer",1991-05-17,9999-01-01
11809,Engineer,1987-03-02,1994-03-02
11809,"Senior Engineer",1994-03-02,9999-01-01
11810,"Senior Engineer",1992-01-05,9999-01-01
11818,"Senior Engineer",1987-08-14,9999-01-01
11819,Engineer,1987-07-07,1994-07-07
11819,"Senior Engineer",1994-07-07,9999-01-01
11820,Engineer,1993-06-20,1999-06-20
11820,"Senior Engineer",1999-06-20,9999-01-01
11821,"Senior Engineer",1995-12-13,2001-10-26
11823,"Senior Engineer",1995-10-23,9999-01-01
11824,Engineer,1993-10-09,2001-10-09
11824,"Senior Engineer",2001-10-09,9999-01-01
11825,"Senior Engineer",1987-05-02,9999-01-01
11826,Engineer,1988-07-06,1995-07-07
11826,"Senior Engineer",1995-07-07,9999-01-01
11829,"Assistant Engineer",1999-10-11,9999-01-01
11831,Engineer,1993-07-18,1999-07-18
11831,"Senior Engineer",1999-07-18,9999-01-01
11832,Engineer,1996-02-04,9999-01-01
11835,Engineer,1992-01-15,2001-01-14
11835,"Senior Engineer",2001-01-14,9999-01-01
11837,Engineer,1990-06-15,1999-06-15
11837,"Senior Engineer",1999-06-15,9999-01-01
11839,Engineer,1990-12-14,1996-12-13
11839,"Senior Engineer",1996-12-13,9999-01-01
11843,"Senior Engineer",1998-02-20,9999-01-01
11844,Engineer,1988-01-27,1995-01-27
11844,"Senior Engineer",1995-01-27,9999-01-01
11845,Engineer,1991-07-23,2000-07-22
11845,"Senior Engineer",2000-07-22,9999-01-01
11846,Engineer,1994-06-22,1999-06-22
11846,"Senior Engineer",1999-06-22,9999-01-01
11847,"Senior Engineer",1996-01-13,1999-05-23
11848,Engineer,1996-12-01,2001-12-01
11848,"Senior Engineer",2001-12-01,9999-01-01
11854,"Senior Engineer",1992-06-30,2001-11-24
11855,Engineer,1992-07-20,2001-07-20
11855,"Senior Engineer",2001-07-20,9999-01-01
11856,Engineer,1989-05-23,1994-05-23
11856,"Senior Engineer",1994-05-23,9999-01-01
11860,"Assistant Engineer",1992-12-04,1999-12-05
11860,Engineer,1999-12-05,2002-01-03
11861,"Assistant Engineer",1990-05-28,1997-05-28
11861,Engineer,1997-05-28,9999-01-01
11862,Engineer,1993-01-20,1998-01-20
11862,"Senior Engineer",1998-01-20,9999-01-01
11863,Engineer,1988-12-16,1996-12-16
11863,"Senior Engineer",1996-12-16,9999-01-01
11866,"Assistant Engineer",1993-11-12,2000-11-12
11866,Engineer,2000-11-12,9999-01-01
11867,Engineer,1996-12-05,9999-01-01
11868,Engineer,1995-04-03,9999-01-01
11869,Engineer,1996-08-12,9999-01-01
11870,Engineer,1990-12-01,1998-12-01
11870,"Senior Engineer",1998-12-01,1999-02-13
11871,Engineer,1993-10-13,1998-10-13
11871,"Senior Engineer",1998-10-13,9999-01-01
11875,"Assistant Engineer",1992-07-25,2000-07-25
11875,Engineer,2000-07-25,9999-01-01
11876,Engineer,1991-06-08,2000-06-07
11876,"Senior Engineer",2000-06-07,9999-01-01
11878,"Assistant Engineer",1990-03-20,1999-03-20
11878,Engineer,1999-03-20,9999-01-01
11883,Engineer,1988-04-16,1990-10-28
11886,"Senior Engineer",1994-10-02,9999-01-01
11887,"Assistant Engineer",1998-03-31,9999-01-01
11889,"Senior Engineer",1996-12-25,9999-01-01
11891,Engineer,1995-02-04,2001-01-06
11893,"Senior Engineer",1999-10-02,9999-01-01
11894,"Senior Engineer",1988-06-22,9999-01-01
11895,Engineer,1990-01-29,1998-01-29
11895,"Senior Engineer",1998-01-29,1998-02-10
11898,Engineer,1996-12-01,9999-01-01
11899,Engineer,1996-01-19,9999-01-01
11902,Engineer,1996-09-22,1999-09-06
11903,Engineer,1990-12-09,1998-12-09
11903,"Senior Engineer",1998-12-09,9999-01-01
11906,Engineer,1999-02-07,9999-01-01
11910,Engineer,1992-09-12,1999-09-13
11910,"Senior Engineer",1999-09-13,2002-07-09
11911,Engineer,1990-06-05,1995-06-05
11911,"Senior Engineer",1995-06-05,9999-01-01
11912,"Senior Engineer",1985-11-13,9999-01-01
11913,Engineer,1985-08-17,1987-09-04
11914,Engineer,1988-06-02,1994-06-02
11914,"Senior Engineer",1994-06-02,9999-01-01
11915,Engineer,1992-06-28,2001-06-28
11915,"Senior Engineer",2001-06-28,9999-01-01
11917,Engineer,1997-03-08,9999-01-01
11919,"Assistant Engineer",1990-10-28,1997-10-27
11919,Engineer,1997-10-27,9999-01-01
11920,"Assistant Engineer",1985-12-24,1994-12-24
11920,Engineer,1994-12-24,9999-01-01
11921,Engineer,1986-03-04,1995-03-04
11921,"Senior Engineer",1995-03-04,9999-01-01
11922,"Senior Engineer",1985-11-01,1992-12-19
11924,Engineer,1997-01-09,9999-01-01
11926,Engineer,1998-09-18,9999-01-01
11928,"Assistant Engineer",1995-10-19,9999-01-01
11930,"Senior Engineer",1991-01-14,1992-01-11
11932,Engineer,1990-08-04,1995-10-29
11933,Engineer,1987-06-13,1992-06-12
11933,"Senior Engineer",1992-06-12,9999-01-01
11934,Engineer,1994-03-09,9999-01-01
11940,"Assistant Engineer",1996-11-02,9999-01-01
11942,Engineer,1985-04-06,1992-04-06
11942,"Senior Engineer",1992-04-06,9999-01-01
11943,Engineer,1992-01-26,1997-01-25
11943,"Senior Engineer",1997-01-25,9999-01-01
11944,"Senior Engineer",1994-12-01,9999-01-01
11948,Engineer,1995-05-10,2002-05-10
11948,"Senior Engineer",2002-05-10,9999-01-01
11950,Engineer,1987-10-23,1993-10-22
11950,"Senior Engineer",1993-10-22,2002-06-25
11951,"Assistant Engineer",1989-10-14,1995-10-14
11951,Engineer,1995-10-14,2001-10-13
11951,"Senior Engineer",2001-10-13,9999-01-01
11952,Engineer,1995-12-19,9999-01-01
11954,Engineer,1997-05-08,9999-01-01
11955,"Senior Engineer",1995-04-25,9999-01-01
11957,Engineer,1992-04-02,1999-04-03
11957,"Senior Engineer",1999-04-03,9999-01-01
11959,Engineer,1996-07-28,2002-05-06
11963,"Senior Engineer",1989-09-17,1997-11-19
11965,Engineer,1993-10-07,9999-01-01
11968,Engineer,1995-08-08,2000-08-07
11968,"Senior Engineer",2000-08-07,9999-01-01
11971,Engineer,1987-11-11,1995-11-11
11971,"Senior Engineer",1995-11-11,9999-01-01
11976,Engineer,1986-10-08,1991-10-08
11976,"Senior Engineer",1991-10-08,9999-01-01
11978,Engineer,1991-06-25,1994-04-25
11981,Engineer,1990-09-14,1995-09-14
11981,"Senior Engineer",1995-09-14,9999-01-01
11982,"Senior Engineer",1985-12-17,9999-01-01
11983,Engineer,1986-10-11,1994-10-11
11983,"Senior Engineer",1994-10-11,9999-01-01
11984,"Senior Engineer",1997-05-22,9999-01-01
11985,Engineer,1985-12-18,1994-12-18
11985,"Senior Engineer",1994-12-18,9999-01-01
11988,Engineer,1985-11-03,1990-11-03
11988,"Senior Engineer",1990-11-03,2001-12-31
11990,Engineer,1988-09-05,1996-09-05
11990,"Senior Engineer",1996-09-05,9999-01-01
11992,"Senior Engineer",1991-09-22,9999-01-01
11996,"Senior Engineer",1994-01-21,9999-01-01
11998,Engineer,1991-12-16,1997-12-15
11998,"Senior Engineer",1997-12-15,9999-01-01
11999,Engineer,1996-07-21,2001-07-21
11999,"Senior Engineer",2001-07-21,2002-03-16
12000,Engineer,1989-12-11,1997-12-11
12000,"Senior Engineer",1997-12-11,9999-01-01
12005,Engineer,1997-06-28,9999-01-01
12006,Engineer,1998-05-08,9999-01-01
12007,Engineer,1989-05-17,1996-05-17
12007,"Senior Engineer",1996-05-17,9999-01-01
12008,Engineer,1991-08-07,1993-03-24
12009,"Assistant Engineer",1998-09-22,9999-01-01
12014,Engineer,1988-10-11,1997-10-11
12014,"Senior Engineer",1997-10-11,9999-01-01
12016,Engineer,1997-02-18,9999-01-01
12017,"Senior Engineer",1992-06-21,1998-12-03
12018,Engineer,1999-04-25,9999-01-01
12021,Engineer,1991-09-30,2000-09-29
12021,"Senior Engineer",2000-09-29,9999-01-01
12028,Engineer,1992-09-02,1997-09-02
12028,"Senior Engineer",1997-09-02,9999-01-01
12029,Engineer,1986-07-10,1994-07-10
12029,"Senior Engineer",1994-07-10,9999-01-01
12031,"Senior Engineer",1987-02-10,9999-01-01
12032,Engineer,1988-03-23,1993-03-23
12032,"Senior Engineer",1993-03-23,9999-01-01
12033,Engineer,1997-11-30,1999-02-07
12038,"Senior Engineer",1987-01-09,9999-01-01
12041,Engineer,1991-01-23,1996-01-23
12041,"Senior Engineer",1996-01-23,9999-01-01
12042,"Senior Engineer",1995-05-19,1996-07-31
12044,"Senior Engineer",1990-04-19,9999-01-01
12045,Engineer,1991-03-03,1997-03-02
12045,"Senior Engineer",1997-03-02,9999-01-01
12047,"Assistant Engineer",1996-08-23,9999-01-01
12048,Engineer,1985-05-25,1992-05-25
12048,"Senior Engineer",1992-05-25,9999-01-01
12049,Engineer,1996-03-14,2001-03-14
12049,"Senior Engineer",2001-03-14,9999-01-01
12050,"Assistant Engineer",1989-04-01,1996-04-01
12050,Engineer,1996-04-01,9999-01-01
12051,Engineer,1985-09-28,1991-09-28
12051,"Senior Engineer",1991-09-28,9999-01-01
12053,"Senior Engineer",1989-11-12,9999-01-01
12056,"Senior Engineer",1986-07-31,9999-01-01
12058,Engineer,1991-08-06,1996-08-05
12058,"Senior Engineer",1996-08-05,9999-01-01
12059,"Assistant Engineer",1991-05-23,1998-05-23
12059,Engineer,1998-05-23,2000-10-25
12063,Engineer,1994-07-24,2002-07-24
12063,"Senior Engineer",2002-07-24,9999-01-01
12064,"Assistant Engineer",1986-03-14,1991-03-14
12064,Engineer,1991-03-14,1996-03-13
12064,"Senior Engineer",1996-03-13,9999-01-01
12065,Engineer,1987-06-18,1994-06-18
12065,"Senior Engineer",1994-06-18,9999-01-01
12068,Engineer,1990-05-12,1991-02-22
12069,"Assistant Engineer",1985-05-13,1990-05-13
12069,Engineer,1990-05-13,1995-05-13
12069,"Senior Engineer",1995-05-13,9999-01-01
12071,"Senior Engineer",1990-09-17,9999-01-01
12072,Engineer,1990-12-17,1996-12-16
12072,"Senior Engineer",1996-12-16,9999-01-01
12073,Engineer,1990-11-10,1997-11-10
12073,"Senior Engineer",1997-11-10,9999-01-01
12074,Engineer,1994-09-07,9999-01-01
12075,"Senior Engineer",1993-07-30,9999-01-01
12077,Engineer,1994-01-30,1999-01-30
12077,"Senior Engineer",1999-01-30,2000-08-18
12078,Engineer,1993-11-14,2000-11-14
12078,"Senior Engineer",2000-11-14,9999-01-01
12084,Engineer,1997-01-01,2002-01-01
12084,"Senior Engineer",2002-01-01,9999-01-01
12086,"Senior Engineer",1991-03-21,2001-05-28
12087,Engineer,1986-08-16,1993-03-24
12090,Engineer,1999-10-03,9999-01-01
12091,"Senior Engineer",1989-03-21,9999-01-01
12093,Engineer,1994-01-19,1999-01-19
12093,"Senior Engineer",1999-01-19,9999-01-01
12095,Engineer,1990-04-04,1995-04-04
12095,"Senior Engineer",1995-04-04,2001-11-07
12101,Engineer,1997-09-02,9999-01-01
12104,"Senior Engineer",1997-06-12,2002-02-08
12107,Engineer,1997-01-27,9999-01-01
12108,"Senior Engineer",1992-12-13,9999-01-01
12109,Engineer,1996-01-20,2001-01-19
12109,"Senior Engineer",2001-01-19,9999-01-01
12110,Engineer,1997-04-12,2002-05-22
12115,"Assistant Engineer",1985-03-19,1993-03-19
12115,Engineer,1993-03-19,2001-03-19
12115,"Senior Engineer",2001-03-19,9999-01-01
12116,Engineer,1994-01-11,1999-01-11
12116,"Senior Engineer",1999-01-11,9999-01-01
12117,"Senior Engineer",1999-02-01,2002-06-23
12121,Engineer,1990-06-04,1996-06-03
12121,"Senior Engineer",1996-06-03,9999-01-01
12122,Engineer,1987-07-24,1992-07-23
12122,"Senior Engineer",1992-07-23,9999-01-01
12125,Engineer,1997-03-31,9999-01-01
12126,"Senior Engineer",1992-12-01,9999-01-01
12131,"Senior Engineer",1986-10-11,9999-01-01
12132,Engineer,1996-11-09,2001-11-09
12132,"Senior Engineer",2001-11-09,9999-01-01
12136,Engineer,1985-08-02,1991-08-02
12136,"Senior Engineer",1991-08-02,9999-01-01
12137,Engineer,1992-09-05,1998-09-05
12137,"Senior Engineer",1998-09-05,9999-01-01
12138,Engineer,1996-02-23,9999-01-01
12139,Engineer,1994-03-07,2001-03-07
12139,"Senior Engineer",2001-03-07,9999-01-01
12143,Engineer,1996-01-06,2002-01-05
12143,"Senior Engineer",2002-01-05,9999-01-01
12147,Engineer,1988-06-24,1997-06-24
12147,"Senior Engineer",1997-06-24,9999-01-01
12148,"Assistant Engineer",1997-06-24,1997-11-21
12150,Engineer,1991-06-25,1997-06-24
12150,"Senior Engineer",1997-06-24,9999-01-01
12153,Engineer,1999-09-03,9999-01-01
12155,Engineer,1993-09-16,2001-09-16
12155,"Senior Engineer",2001-09-16,9999-01-01
12158,Engineer,1999-02-17,9999-01-01
12159,"Senior Engineer",1985-07-17,9999-01-01
12162,Engineer,1993-04-23,1998-04-23
12162,"Senior Engineer",1998-04-23,9999-01-01
12163,Engineer,1989-08-18,1994-01-02
12164,Engineer,1996-05-14,9999-01-01
12165,"Senior Engineer",1994-08-29,9999-01-01
12166,Engineer,1990-11-30,1993-04-14
12173,"Senior Engineer",1998-09-20,2000-05-20
12174,"Senior Engineer",1996-01-09,9999-01-01
12176,Engineer,1994-07-05,1999-07-05
12176,"Senior Engineer",1999-07-05,9999-01-01
12177,Engineer,1990-07-07,1996-07-06
12177,"Senior Engineer",1996-07-06,9999-01-01
12179,Engineer,1994-02-12,9999-01-01
12180,"Senior Engineer",1990-02-05,9999-01-01
12183,Engineer,1998-04-04,9999-01-01
12185,Engineer,1994-10-23,1999-10-23
12185,"Senior Engineer",1999-10-23,9999-01-01
12188,"Senior Engineer",1997-03-20,9999-01-01
12190,"Senior Engineer",1997-12-13,9999-01-01
12191,Engineer,1998-11-22,9999-01-01
12192,Engineer,1986-09-02,1991-09-02
12192,"Senior Engineer",1991-09-02,9999-01-01
12194,Engineer,1997-05-15,2002-05-15
12194,"Senior Engineer",2002-05-15,9999-01-01
12195,Engineer,1995-02-09,2002-02-09
12195,"Senior Engineer",2002-02-09,9999-01-01
12196,Engineer,1999-08-22,9999-01-01
12197,Engineer,1999-06-21,1999-07-17
12198,Engineer,1986-05-04,1993-05-04
12198,"Senior Engineer",1993-05-04,9999-01-01
12201,Engineer,1992-03-20,2001-03-20
12201,"Senior Engineer",2001-03-20,9999-01-01
12203,Engineer,1987-07-21,1990-07-31
12205,"Senior Engineer",1987-11-11,9999-01-01
12206,"Assistant Engineer",1985-03-27,1993-03-27
12206,Engineer,1993-03-27,2001-03-27
12206,"Senior Engineer",2001-03-27,9999-01-01
12212,Engineer,1986-08-24,1991-01-05
12215,Engineer,1994-06-18,2002-06-18
12215,"Senior Engineer",2002-06-18,9999-01-01
12216,Engineer,1995-10-25,9999-01-01
12218,Engineer,1991-03-12,2000-03-11
12218,"Senior Engineer",2000-03-11,9999-01-01
12221,Engineer,1985-09-16,1991-09-16
12221,"Senior Engineer",1991-09-16,9999-01-01
12223,Engineer,1986-08-13,1995-08-13
12223,"Senior Engineer",1995-08-13,9999-01-01
12226,Engineer,1997-02-07,9999-01-01
12228,Engineer,1995-04-12,2000-04-11
12228,"Senior Engineer",2000-04-11,9999-01-01
12230,Engineer,1997-04-13,9999-01-01
12231,"Senior Engineer",1990-05-19,9999-01-01
12233,Engineer,1998-12-30,9999-01-01
12236,Engineer,1987-06-08,1992-06-07
12236,"Senior Engineer",1992-06-07,9999-01-01
12238,Engineer,1988-12-16,1995-10-29
12240,Engineer,1989-08-03,1993-03-29
12242,"Assistant Engineer",1994-11-12,2000-11-11
12242,Engineer,2000-11-11,9999-01-01
12243,Engineer,1994-04-15,1999-04-15
12243,"Senior Engineer",1999-04-15,9999-01-01
12245,Engineer,1998-11-27,9999-01-01
12249,Engineer,1987-06-21,1996-06-20
12249,"Senior Engineer",1996-06-20,9999-01-01
12250,"Senior Engineer",1991-04-25,9999-01-01
12251,Engineer,1985-07-20,1993-07-20
12251,"Senior Engineer",1993-07-20,9999-01-01
12252,Engineer,1987-03-16,1992-03-15
12252,"Senior Engineer",1992-03-15,9999-01-01
12254,Engineer,1988-12-23,1989-10-31
12257,"Assistant Engineer",1998-01-31,1998-06-11
12258,Engineer,1990-06-22,1999-06-22
12258,"Senior Engineer",1999-06-22,9999-01-01
12260,Engineer,1991-04-26,1991-05-09
12262,Engineer,1990-05-04,1998-05-04
12262,"Senior Engineer",1998-05-04,9999-01-01
12263,"Senior Engineer",1990-03-07,9999-01-01
12264,Engineer,1998-01-09,9999-01-01
12265,Engineer,1993-06-20,1998-06-20
12265,"Senior Engineer",1998-06-20,9999-01-01
12266,"Senior Engineer",1989-06-11,1992-01-22
12267,Engineer,1997-06-09,9999-01-01
12269,Engineer,1994-07-06,2000-07-05
12269,"Senior Engineer",2000-07-05,9999-01-01
12274,Engineer,1988-04-01,1989-01-18
12276,Engineer,1993-06-13,2001-06-13
12276,"Senior Engineer",2001-06-13,2001-09-25
12277,Engineer,1990-05-15,1995-05-15
12277,"Senior Engineer",1995-05-15,9999-01-01
12279,"Assistant Engineer",1985-03-06,1990-03-06
12279,Engineer,1990-03-06,1995-03-06
12279,"Senior Engineer",1995-03-06,9999-01-01
12280,"Senior Engineer",1985-02-27,9999-01-01
12281,Engineer,1993-09-22,2000-09-22
12281,"Senior Engineer",2000-09-22,9999-01-01
12282,Engineer,1999-10-06,9999-01-01
12285,Engineer,1991-02-21,1997-02-20
12285,"Senior Engineer",1997-02-20,9999-01-01
12287,Engineer,1994-12-25,9999-01-01
12289,Engineer,1993-09-22,1994-03-15
12292,Engineer,1989-01-05,1994-01-05
12292,"Senior Engineer",1994-01-05,9999-01-01
12293,"Senior Engineer",1990-09-29,1990-10-15
12298,"Senior Engineer",1994-03-31,9999-01-01
12299,Engineer,1999-01-24,9999-01-01
12300,"Senior Engineer",1990-05-16,9999-01-01
12305,Engineer,2000-01-11,9999-01-01
12307,Engineer,1985-02-23,1994-02-23
12307,"Senior Engineer",1994-02-23,9999-01-01
12309,Engineer,1995-10-10,9999-01-01
12310,Engineer,1990-12-21,1999-12-21
12310,"Senior Engineer",1999-12-21,9999-01-01
12311,"Senior Engineer",1985-10-22,9999-01-01
12312,"Assistant Engineer",1988-11-24,1994-11-24
12312,Engineer,1994-11-24,1996-12-18
12313,Engineer,1986-10-21,1992-10-20
12313,"Senior Engineer",1992-10-20,9999-01-01
12316,"Assistant Engineer",1992-04-05,1998-04-05
12316,Engineer,1998-04-05,9999-01-01
12320,Engineer,1993-02-28,2002-02-28
12320,"Senior Engineer",2002-02-28,9999-01-01
12322,Engineer,1996-11-06,2001-11-06
12322,"Senior Engineer",2001-11-06,9999-01-01
12324,Engineer,1990-05-25,1997-05-25
12324,"Senior Engineer",1997-05-25,9999-01-01
12326,Engineer,1998-09-13,9999-01-01
12327,Engineer,1986-10-16,1992-10-15
12327,"Senior Engineer",1992-10-15,9999-01-01
12329,Engineer,1991-07-15,2000-07-14
12329,"Senior Engineer",2000-07-14,9999-01-01
12332,"Assistant Engineer",1996-01-14,1998-12-10
12333,Engineer,1997-04-12,9999-01-01
12334,Engineer,1992-03-18,1997-03-18
12334,"Senior Engineer",1997-03-18,9999-01-01
12337,Engineer,1990-12-28,1996-12-27
12337,"Senior Engineer",1996-12-27,9999-01-01
12341,Engineer,1985-05-25,1990-05-25
12341,"Senior Engineer",1990-05-25,9999-01-01
12342,Engineer,1992-08-30,2000-08-30
12342,"Senior Engineer",2000-08-30,9999-01-01
12344,Engineer,1990-07-28,1998-07-28
12344,"Senior Engineer",1998-07-28,9999-01-01
12345,Engineer,1990-07-09,1997-07-09
12345,"Senior Engineer",1997-07-09,2002-03-09
12348,"Assistant Engineer",1998-08-06,9999-01-01
12350,"Senior Engineer",1996-08-25,9999-01-01
12351,Engineer,1997-08-26,1999-02-16
12353,Engineer,1994-11-20,9999-01-01
12355,Engineer,1989-11-08,1995-11-08
12355,"Senior Engineer",1995-11-08,9999-01-01
12357,"Assistant Engineer",1998-12-19,9999-01-01
12360,Engineer,1995-02-02,2000-02-02
12360,"Senior Engineer",2000-02-02,2001-02-17
12361,Engineer,1992-06-05,2001-06-05
12361,"Senior Engineer",2001-06-05,9999-01-01
12364,"Assistant Engineer",1998-11-02,9999-01-01
12365,Engineer,1988-09-12,1994-09-12
12365,"Senior Engineer",1994-09-12,9999-01-01
12367,Engineer,1992-02-17,1997-02-16
12367,"Senior Engineer",1997-02-16,9999-01-01
12369,"Assistant Engineer",1987-04-19,1995-04-19
12369,Engineer,1995-04-19,9999-01-01
12371,Engineer,1996-05-11,2000-05-29
12375,Engineer,1996-07-17,9999-01-01
12376,Engineer,1986-11-11,1995-11-11
12376,"Senior Engineer",1995-11-11,9999-01-01
12383,"Senior Engineer",1995-03-02,9999-01-01
12384,"Assistant Engineer",1990-06-28,1996-06-10
12385,"Assistant Engineer",1997-05-03,9999-01-01
12386,Engineer,1993-10-19,1998-10-19
12386,"Senior Engineer",1998-10-19,9999-01-01
12387,"Assistant Engineer",1986-06-09,1994-06-09
12387,Engineer,1994-06-09,2002-06-09
12387,"Senior Engineer",2002-06-09,9999-01-01
